movieID	title	year	runtime	budget	revenue	budget_adj	revenue_adj
tt0034583	Casablanca	1942	102				
tt0035446	To Be or Not to Be	1942	99				
tt0039689	Out of the Past	1947	97				
tt0042593	In a Lonely Place	1950	94				
tt0050825	Paths of Glory	1957	88				
tt0053291	Some Like It Hot	1959	121				
tt0053604	The Apartment	1960	125	3000000.0	25000000.0	22118902.37	184324186.4
tt0062136	Playtime	1967	155				
tt0064116	Once Upon a Time in the West	1968	165				
tt0074958	Network	1976	121	3800000.0	23689877.0	14560452.51	90772455.0
tt0078788	Apocalypse Now	1979	147	31500000.0	83471511.0	94643451.08	250794662.5
tt0087884	Paris, Texas	1984	145	1746964.0	2181987.0	3666950.877	4580082.442
tt0112913	Fallen Angels	1995	99				
tt0166924	Mulholland Dr.	2001	147	15000000.0	20117339.0	18472321.75	24774263.92
tt0244316	Yi Yi	2000	173				
